id,tornado_id,yr,month,date,state,category,injuries,fatalities,loss,start_lat,start_longitude,end_latitude,end_longitude,distance_traveled,width,seasons
60107,614398,2016,10,2016-10-12,IN,0.0,0,0,,41.6421,-86.3046,41.6557,-86.2886,1.25,30,fall
60108,614399,2016,10,2016-10-12,IN,0.0,0,0,,41.6685,-86.2307,41.6689,-86.23,0.05,40,fall
60109,614400,2016,10,2016-10-14,OR,2.0,0,0,1000000.0,45.72,-123.94,45.72,-123.94,0.7,225,fall
60110,614401,2016,10,2016-10-14,OR,,0,0,,45.47,-123.97,45.47,-123.97,0.01,10,fall
60111,614382,2016,10,2016-10-04,KS,0.0,0,0,,39.2482,-97.4066,39.2482,-97.4066,0.1,40,fall
60112,614383,2016,10,2016-10-04,KS,1.0,0,0,,39.4411,-97.0346,39.4902,-96.9677,4.92,75,fall
60113,614384,2016,10,2016-10-06,KS,0.0,0,0,,37.0294,-95.2163,37.0306,-95.2126,0.22,50,fall
60114,614385,2016,10,2016-10-06,KS,0.0,0,0,,37.05,-95.18,37.0513,-95.1781,0.14,50,fall
60115,614386,2016,10,2016-10-06,KS,0.0,0,0,,37.1691,-96.9803,37.1694,-96.9799,0.03,50,fall
60116,614387,2016,10,2016-10-06,KS,1.0,0,0,25000.0,37.2268,-96.8084,37.2285,-96.8069,0.14,50,fall
60117,614388,2016,10,2016-10-06,KS,1.0,0,0,20000.0,37.3197,-96.7012,37.327,-96.6996,0.51,75,fall
60118,614389,2016,10,2016-10-06,KS,2.0,0,0,,38.7407,-97.5156,38.7413,-97.5117,0.21,60,fall
60119,614390,2016,10,2016-10-06,KS,1.0,0,0,,39.5423,-97.1833,39.5912,-97.0085,9.97,200,fall
60120,614391,2016,10,2016-10-06,KS,3.0,0,0,,38.7815,-97.4704,38.8596,-97.4039,6.48,140,fall
60121,614392,2016,10,2016-10-06,KS,1.0,0,0,,39.2998,-97.163,39.3237,-97.0472,6.41,300,fall
60122,614393,2016,10,2016-10-06,IA,1.0,0,0,,41.4677,-91.097,41.552,-90.9515,9.52,30,fall
60123,614394,2016,10,2016-10-06,IA,1.0,0,0,,41.5049,-90.6173,41.679,-90.3076,20.02,800,fall
60124,614395,2016,10,2016-10-06,IL,0.0,0,0,,41.3796,-90.5125,41.4148,-90.4314,4.86,10,fall
60125,614396,2016,10,2016-10-08,SC,0.0,0,0,,33.8243,-78.651,33.8402,-78.6694,1.53,25,fall
60126,614397,2016,10,2016-10-08,NC,0.0,0,0,75000.0,35.323,-77.8625,35.329,-77.8773,0.93,250,fall
60127,614402,2016,11,2016-11-18,PR,0.0,0,0,10000.0,18.43,-66.4825,18.4323,-66.4916,0.62,1091,fall
60128,614403,2016,11,2016-11-22,KS,0.0,0,0,,39.1999,-96.8252,39.1999,-96.8252,0.3,25,fall
